id,city_name,population,rank,state,state_abbr
1,New York,8405837,1,New York,NY
2,Los Angeles,3884307,2,California,CA
3,Chicago,2718782,3,Illinois,IL
4,Houston,2195914,4,Texas,TX
5,Philadelphia,1553165,5,Pennsylvania,PA
6,Phoenix,1513367,6,Arizona,AZ
7,San Antonio,1409019,7,Texas,TX
8,San Diego,1355896,8,California,CA
9,Dallas,1257676,9,Texas,TX
10,San Jose,998537,10,California,CA
11,Austin,885400,11,Texas,TX
12,Indianapolis,843393,12,Indiana,IN
13,Jacksonville,842583,13,Florida,FL
14,San Francisco,837442,14,California,CA
15,Columbus,822553,15,Ohio,OH
16,Charlotte,792862,16,North Carolina,NC
17,Fort Worth,792727,17,Texas,TX
18,Detroit,688701,18,Michigan,MI
19,El Paso,674433,19,Texas,TX
20,Memphis,653450,20,Tennessee,TN
21,Seattle,652405,21,Washington,WA
22,Denver,649495,22,Colorado,CO
23,Washington,646449,23,District of Columbia,DC
24,Boston,645966,24,Massachusetts,MA
25,Nashville-Davidson,634464,25,Tennessee,TN
26,Baltimore,622104,26,Maryland,MD
27,Oklahoma City,610613,27,Oklahoma,OK
28,Louisville/Jefferson County,609893,28,Kentucky,KY
29,Portland,609456,29,Oregon,OR
30,Las Vegas,603488,30,Nevada,NV
31,Milwaukee,599164,31,Wisconsin,WI
32,Albuquerque,556495,32,New Mexico,NM
33,Tucson,526116,33,Arizona,AZ
34,Fresno,509924,34,California,CA
35,Sacramento,479686,35,California,CA
36,Long Beach,469428,36,California,CA
37,Kansas City,467007,37,Missouri,MO
38,Mesa,457587,38,Arizona,AZ
39,Virginia Beach,448479,39,Virginia,VA
40,Atlanta,447841,40,Georgia,GA
41,Colorado Springs,439886,41,Colorado,CO
42,Omaha,434353,42,Nebraska,NE
43,Raleigh,431746,43,North Carolina,NC
44,Miami,417650,44,Florida,FL
45,Oakland,406253,45,California,CA
46,Minneapolis,400070,46,Minnesota,MN
47,Tulsa,398121,47,Oklahoma,OK
48,Cleveland,390113,48,Ohio,OH
49,Wichita,386552,49,Kansas,KS
50,Arlington,379577,50,Texas,TX
51,New Orleans,378715,51,Louisiana,LA
52,Bakersfield,363630,52,California,CA
53,Tampa,352957,53,Florida,FL
54,Honolulu,347884,54,Hawaii,HI
55,Aurora,345803,55,Colorado,CO
56,Anaheim,345012,56,California,CA
57,Santa Ana,334227,57,California,CA
58,St. Louis,318416,58,Missouri,MO
59,Riverside,316619,59,California,CA
60,Corpus Christi,316381,60,Texas,TX
61,Lexington-Fayette,308428,61,Kentucky,KY
62,Pittsburgh,305841,62,Pennsylvania,PA
63,Anchorage,300950,63,Alaska,AK
64,Stockton,298118,64,California,CA
65,Cincinnati,297517,65,Ohio,OH
66,St. Paul,294873,66,Minnesota,MN
67,Toledo,282313,67,Ohio,OH
68,Greensboro,279639,68,North Carolina,NC
69,Newark,278427,69,New Jersey,NJ
70,Plano,274409,70,Texas,TX
71,Henderson,270811,71,Nevada,NV
72,Lincoln,268738,72,Nebraska,NE
73,Buffalo,258959,73,New York,NY
74,Jersey City,257342,74,New Jersey,NJ
75,Chula Vista,256780,75,California,CA
76,Fort Wayne,256496,76,Indiana,IN
77,Orlando,255483,77,Florida,FL
78,St. Petersburg,249688,78,Florida,FL
79,Chandler,249146,79,Arizona,AZ
80,Laredo,248142,80,Texas,TX
